Problem Size,Sequential,Sequential Error,Map Reduce,Map Reduce Error,Parallel Foreach,Parallel Foreach Error, Tasks, Tasks Error
3,9.750000,95.901030,76.680000,758.735328,270.990000,2200.388695,77.100000,664.087969
5,4.995000,67.975768,38.590000,537.856999,153.830000,1560.396424,44.780000,470.744954
9,3.513333,55.539324,26.023333,439.517602,116.243333,1275.169125,35.533333,384.615135
17,3.102500,48.101736,20.097500,380.771582,103.275000,1104.823158,39.610000,358.372471
33,4.084000,43.073204,18.044000,340.605476,102.676000,988.548372,40.010000,320.546617
65,8.770000,40.824671,20.108333,310.990922,109.471667,902.708031,45.508333,292.885882
129,29.172857,63.530803,35.890000,300.896324,131.140000,838.167188,57.822857,273.493332
257,89.197500,172.223985,79.043750,305.011482,170.951250,792.980054,76.908750,263.193205
513,407.556667,922.716829,291.632222,667.091317,274.954444,811.716711,155.663333,340.040418
1025,1558.973000,3564.076720,1200.926000,2820.768445,927.618000,7063.807159,524.872000,1160.747426
2049,5382.977273,12575.862411,4076.554545,9490.721561,2720.817273,12537.072606,1913.440000,4586.246272
4097,20230.017500,50730.059776,14489.512500,35828.370235,7823.069167,21041.721144,6704.375833,16508.855637
